Location,Class Name,Class Type,First Class Time,No dog first class,Skip Day,misc
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 4/26/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Friday 5/12/23 at 12:00 PM with Heather Constiner 
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,Skip day 5/26,Friday 5/12/23 at 6:15 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 6/7/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Friday 6/30/23 at 6:15 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 7/19/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Friday 8/11/23 at 6:15 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 8/30/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Monday 9/11/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Friday 9/22/23 at 6:15 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,,Wednesday 10/11/23 at 5:45 PM with April Courtney
Warren,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ ​​,OBEDIENCE & MANNERS,,,Skip day 11/4​,Friday 11/3/23 at 6:15 PM with April Courtney 
Warren,Advanced Obedience - Level 3 - $139​​​​​​,OBEDIENCE & MANNERS,,,Skip day 7/5​,Wednesday 6/14/23 at 7:00 PM with Heather Huff
Warren,Advanced Obedience - Level 3 - $139​​​​​​,OBEDIENCE & MANNERS,,,,Friday 7/7/23 at 5:00 PM with April Courtney
Warren,Advanced Obedience - Level 3 - $139​​​​​​,OBEDIENCE & MANNERS,,,,Monday 7/24/23 at 5:45 PM with April Courtney
Warren,Advanced Obedience - Level 3 - $139​​​​​​,OBEDIENCE & MANNERS,,,,Monday 10/23/23 at 5:45 PM with April Courtney
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Friday 4/28/23 at 9:30 AM with Heather Constiner 
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Saturday 5/6/23 at 4 PM with Heather Constiner
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,Skip day 7/1​,Saturday 6/24/23 at 4:00 PM with Heather Constiner 
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Saturday 8/5/23 at 4:00 PM with Heather Constiner ​​
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Saturday 9/16/23 at 4:00 PM with Heather Constiner 
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Saturday 10/28/23 at 4:00 PM with Heather Constiner
Warren,Get Control! - $150​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,,Saturday 12/9/23 at 4:00 PM with Heather Constiner 
Warren,Fearful & Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs​,,,Saturday 4/15/23 at 5:30 PM with Heather Constiner
Warren,Fearful & Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs​,,Skip day 7/1​,Saturday 6/3/23 at 5:30 PM with Heather Constiner 
Warren,Fearful & Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs​,,,Saturday 7/22/23 at 5:30 PM with Heather Constiner 
Warren,Fearful & Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs​,,,Saturday 9/9/23 at 5:30 PM with Heather Constiner 
Warren,Fearful & Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,First class is 5:30pm-7:30pm; no dogs​,,,Saturday 10/28/23 at 5:30 PM with Heather Constiner
Warren,Reactive Dog Class - Level 1 - $220​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,First class is 7:15pm-8:45pm; no dogs​,Tuesday 5/16/23 at 7:15 PM with Heather Huff
Warren,Reactive Dog Class - Level 1 - $220​​​​​​​​,SPECIALTY BEHAVIOR CLASSES,,,First class is 7:15pm-8:45pm; no dogs​,Tuesday 7/11/23 at 7:15 PM with Heather Huff
Warren,Intro to Tricks - $139​​​,FUN CLASSES,,,,Friday 8/11/23 at 3:45 PM with April Courtney
Warren,Brain Works for Dogs - Level 1 - $139,FUN CLASSES,,,Skip day 5/28​,Friday 5/12/23 at 3:45 PM with April Courtney
Warren,Brain Works for Dogs - Level 2 - $139,FUN CLASSES,,,,Friday 6/30/23 at 3:45 PM with April Courtney
Warren,Indoor Games for Dogs - $20​​​​​​,MINI CLASSES ,,,,Saturday 4/1/23 at 2:30 PM with Heather Constiner 
Warren,Polite Greetings - $20​,MINI CLASSES ,,,,Wednesday 5/24/23 at 7:00 PM with Heather Huff
Warren,Fun for Fido (A-F) - $20​,MINI CLASSES ,,,,Wednesday 5/17/23 at 7:00 PM with Heather Huff
Warren,Fun for Fido (A-F) - $20​,MINI CLASSES ,,,,Wednesday 5/31/23 at 7:00 PM with Heather Huff
Warren,Fun for Fido (A-F) - $20​,MINI CLASSES ,,,,D- Friday 6/9/23 at 5:00 PM with April Courtney
